epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1772,1.21639,2.81614,1.38641,0.65492,0.37706,0.44903,0.29098,1.26899,2.76532,1.40556,0.000658915,0.000658915,0.000658915
2,20.1986,1.29878,2.19708,1.40875,0.50962,0.5,0.48212,0.27632,1.4371,4.93679,1.67594,0.00132121,0.00132121,0.00132121
3,27.8557,1.3646,2.02849,1.47593,0.63117,0.53832,0.55104,0.31706,1.3533,3.68362,1.55072,0.0019791,0.0019791,0.0019791
4,35.5367,1.32584,1.8625,1.43089,0.57503,0.51987,0.54802,0.33201,1.36984,2.20769,1.48935,0.0019802,0.0019802,0.0019802
5,46.0666,1.33664,1.71993,1.44212,0.67382,0.52671,0.59005,0.37856,1.35741,2.01037,1.50483,0.0019736,0.0019736,0.0019736
6,53.8381,1.30607,1.58432,1.40313,0.64389,0.63907,0.66683,0.42155,1.2532,1.47425,1.38991,0.001967,0.001967,0.001967
7,61.4496,1.23037,1.40247,1.34647,0.8248,0.66225,0.7753,0.51995,1.19694,1.2665,1.36018,0.0019604,0.0019604,0.0019604
8,69.3733,1.19921,1.37591,1.33971,0.79159,0.64143,0.72028,0.4985,1.19093,1.38187,1.34836,0.0019538,0.0019538,0.0019538
9,80.0296,1.19292,1.31204,1.34066,0.8453,0.61589,0.75233,0.53361,1.11546,1.30026,1.28462,0.0019472,0.0019472,0.0019472
10,87.9823,1.17764,1.25344,1.28387,0.67012,0.67938,0.71329,0.48893,1.17083,1.36399,1.33656,0.0019406,0.0019406,0.0019406
11,95.6153,1.15397,1.2049,1.30261,0.71012,0.64083,0.70172,0.47857,1.13757,1.51572,1.35577,0.001934,0.001934,0.001934
12,103.271,1.14173,1.185,1.28486,0.85723,0.69585,0.81569,0.56448,1.11875,1.11473,1.28581,0.0019274,0.0019274,0.0019274
13,113.862,1.15859,1.2089,1.28909,0.81861,0.71728,0.79593,0.56135,1.0656,1.15886,1.28372,0.0019208,0.0019208,0.0019208
