epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.48823,1.17122,2.59853,1.35159,0.59639,0.53175,0.55709,0.38057,1.25221,2.57899,1.45123,0.000660194,0.000660194,0.000660194
2,17.6379,1.26872,2.07301,1.38948,0.5847,0.38889,0.42375,0.22955,1.58756,3.93567,1.70433,0.00131372,0.00131372,0.00131372
3,28.5304,1.30701,1.87086,1.40201,0.47947,0.50794,0.47173,0.2823,1.39674,2.37248,1.48066,0.00195406,0.00195406,0.00195406
4,36.3506,1.31295,1.7079,1.40859,0.67155,0.64909,0.67064,0.38351,1.42947,1.93347,1.51508,0.0019406,0.0019406,0.0019406
5,44.2313,1.27158,1.55888,1.38188,0.64941,0.65873,0.70173,0.45092,1.21876,1.44966,1.35729,0.0019208,0.0019208,0.0019208
6,52.2281,1.24524,1.45204,1.35987,0.89815,0.48992,0.67809,0.39921,1.4339,1.59343,1.48228,0.001901,0.001901,0.001901
7,59.99,1.25377,1.4115,1.37508,0.8149,0.59524,0.72702,0.48283,1.30023,1.28775,1.39549,0.0018812,0.0018812,0.0018812
8,71.0168,1.18476,1.33546,1.32883,0.80822,0.66896,0.79163,0.5451,1.15841,1.158,1.28842,0.0018614,0.0018614,0.0018614
9,79.2845,1.15074,1.21465,1.30167,0.76084,0.64286,0.73693,0.50894,1.12929,1.27504,1.30688,0.0018416,0.0018416,0.0018416
10,87.3536,1.11943,1.20585,1.27127,0.78327,0.68839,0.75591,0.49737,1.13725,1.28741,1.30907,0.0018218,0.0018218,0.0018218
11,98.5339,1.1274,1.1624,1.28862,0.77381,0.73309,0.81029,0.54829,1.14038,1.11218,1.27852,0.001802,0.001802,0.001802
12,106.639,1.13412,1.12528,1.29026,0.70403,0.75397,0.7933,0.57921,1.04739,1.19035,1.27497,0.0017822,0.0017822,0.0017822
13,114.814,1.08782,1.09521,1.25981,0.85866,0.71429,0.84803,0.60145,1.13075,1.01443,1.26795,0.0017624,0.0017624,0.0017624
14,122.942,1.08594,1.08179,1.24529,0.8448,0.60482,0.7863,0.54637,1.12031,1.1653,1.29525,0.0017426,0.0017426,0.0017426
15,134.048,1.06171,1.07699,1.23899,0.89109,0.68254,0.83397,0.60689,1.08996,1.04228,1.26084,0.0017228,0.0017228,0.0017228
16,142.542,1.05486,1.04736,1.24312,0.78212,0.77778,0.82061,0.58697,1.09216,1.00881,1.2804,0.001703,0.001703,0.001703
17,150.715,1.07289,1.03425,1.23711,0.83205,0.73016,0.84311,0.5735,1.15059,0.98359,1.29456,0.0016832,0.0016832,0.0016832
18,158.873,1.04392,0.98366,1.23855,0.82509,0.71134,0.80959,0.58634,1.0954,1.02278,1.23474,0.0016634,0.0016634,0.0016634
19,170.328,0.97723,0.90671,1.18291,0.87478,0.83169,0.89729,0.65742,1.03412,0.87387,1.22702,0.0016436,0.0016436,0.0016436
20,178.52,1.02898,0.95735,1.22818,0.73101,0.73333,0.76673,0.52255,1.09937,1.10103,1.25841,0.0016238,0.0016238,0.0016238
21,186.776,1.01052,0.91709,1.20665,0.84693,0.74654,0.85626,0.63339,1.02007,0.93965,1.22372,0.001604,0.001604,0.001604
22,195.116,1.01245,0.91431,1.20176,0.85558,0.7993,0.8754,0.60244,1.07205,0.91957,1.25199,0.0015842,0.0015842,0.0015842
23,206.363,0.96741,0.88289,1.17951,0.81529,0.73016,0.81297,0.5733,1.07989,1.07518,1.22345,0.0015644,0.0015644,0.0015644
24,214.621,0.98972,0.91142,1.19346,0.86937,0.78571,0.8735,0.63489,1.02093,0.83841,1.20301,0.0015446,0.0015446,0.0015446
25,222.782,0.94256,0.8158,1.15368,0.78554,0.75583,0.84028,0.5998,1.04417,0.94344,1.20391,0.0015248,0.0015248,0.0015248
26,230.988,0.93654,0.84429,1.15824,0.84113,0.8404,0.90766,0.65422,1.03644,0.8045,1.21681,0.001505,0.001505,0.001505
27,242.173,0.92112,0.82508,1.14779,0.88035,0.72222,0.8612,0.59848,1.10183,0.90405,1.24462,0.0014852,0.0014852,0.0014852
28,250.519,0.95297,0.84773,1.16842,0.84488,0.82135,0.89528,0.66773,1.04863,0.83461,1.21221,0.0014654,0.0014654,0.0014654
29,258.713,0.91091,0.79613,1.14668,0.89083,0.79365,0.89667,0.65729,1.02843,0.80845,1.22565,0.0014456,0.0014456,0.0014456
30,267.104,0.89808,0.79251,1.15495,0.87648,0.88095,0.91639,0.70041,0.95953,0.73697,1.14725,0.0014258,0.0014258,0.0014258
31,278.32,0.9061,0.78096,1.15368,0.89481,0.8777,0.92067,0.69522,0.98335,0.77951,1.18324,0.001406,0.001406,0.001406
32,286.792,0.93879,0.80529,1.16486,0.92449,0.87452,0.94359,0.69331,0.99843,0.72777,1.16661,0.0013862,0.0013862,0.0013862
33,295.107,0.9149,0.75871,1.15457,0.92135,0.83333,0.90439,0.6703,1.00423,0.80223,1.19132,0.0013664,0.0013664,0.0013664
34,303.293,0.92667,0.77027,1.16024,0.94551,0.78571,0.90899,0.67925,0.96384,0.71569,1.14431,0.0013466,0.0013466,0.0013466
35,314.466,0.90995,0.74027,1.14863,0.88433,0.91017,0.94437,0.70078,1.0008,0.72229,1.17089,0.0013268,0.0013268,0.0013268
36,322.609,0.91276,0.77702,1.14609,0.91253,0.75397,0.87952,0.66849,0.99992,0.84533,1.18901,0.001307,0.001307,0.001307
37,330.961,0.89879,0.75013,1.13618,0.886,0.76984,0.88925,0.66329,1.05309,0.81658,1.19175,0.0012872,0.0012872,0.0012872
38,339.12,0.89906,0.76024,1.1331,0.88479,0.86508,0.92551,0.69097,0.99098,0.82663,1.17892,0.0012674,0.0012674,0.0012674
39,350.309,0.89281,0.74171,1.13599,0.92168,0.84063,0.92278,0.68691,0.9715,0.73983,1.14906,0.0012476,0.0012476,0.0012476
40,358.518,0.83513,0.69878,1.09096,0.8951,0.90476,0.94756,0.72122,0.91193,0.72132,1.1353,0.0012278,0.0012278,0.0012278
41,366.788,0.86332,0.67643,1.10641,0.89001,0.84127,0.91391,0.70167,0.96039,0.79702,1.14792,0.001208,0.001208,0.001208
42,375.049,0.86569,0.68048,1.11542,0.94904,0.8254,0.93008,0.70842,0.91214,0.62864,1.13181,0.0011882,0.0011882,0.0011882
43,386.213,0.83825,0.65787,1.09424,0.9323,0.87432,0.95335,0.72228,0.95078,0.70839,1.15571,0.0011684,0.0011684,0.0011684
44,394.468,0.83848,0.70171,1.10054,0.88794,0.84127,0.92946,0.69592,0.93662,0.70391,1.13836,0.0011486,0.0011486,0.0011486
45,402.711,0.89719,0.72457,1.14461,0.91537,0.88095,0.93699,0.72194,0.91797,0.66776,1.12707,0.0011288,0.0011288,0.0011288
46,410.933,0.85498,0.70496,1.11619,0.96221,0.80824,0.93948,0.71292,0.91945,0.72458,1.14287,0.001109,0.001109,0.001109
47,422.116,0.81617,0.67774,1.09022,0.89736,0.90208,0.94505,0.73244,0.90527,0.64287,1.13313,0.0010892,0.0010892,0.0010892
48,430.282,0.82223,0.66983,1.09276,0.87009,0.88095,0.9333,0.7113,0.93799,0.65957,1.15141,0.0010694,0.0010694,0.0010694
