epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,408.274,0.92029,1.37679,0.75747,1.09669,0.97875,0.7623,0.90276,0.65329,0.98923,0.75305,0.90595,0.64978,0.95853,1.65285,0.7633,1.15275,0.0014258,0.0014258,0.0014258
31,420.99,0.90879,1.34066,0.78246,1.08819,0.9441,0.83067,0.909,0.66842,0.93479,0.82247,0.90575,0.65211,0.97796,1.61672,0.73105,1.1897,0.001406,0.001406,0.001406
32,433.778,0.89355,1.30754,0.71818,1.10147,0.9093,0.82181,0.88791,0.66266,0.92739,0.83754,0.8995,0.64743,0.92267,1.53329,0.7461,1.14002,0.0013862,0.0013862,0.0013862
33,449.571,0.90697,1.35592,0.76412,1.09488,0.80529,0.78689,0.84494,0.62909,0.81434,0.79508,0.84709,0.61426,1.01026,1.58516,0.84432,1.18271,0.0013664,0.0013664,0.0013664
34,462.302,0.89892,1.36456,0.73928,1.08345,0.92972,0.88525,0.93302,0.70043,0.92972,0.88525,0.93336,0.68479,0.91804,1.57014,0.61882,1.13672,0.0013466,0.0013466,0.0013466
35,478.193,0.89784,1.3381,0.7148,1.08019,0.9287,0.85411,0.91277,0.6815,0.9287,0.85411,0.90894,0.65732,0.95703,1.56824,0.68846,1.20615,0.0013268,0.0013268,0.0013268
36,490.879,0.91856,1.31278,0.71928,1.09334,0.89065,0.86793,0.90267,0.66147,0.89065,0.86793,0.90081,0.65273,1.02428,1.56853,0.71904,1.23169,0.001307,0.001307,0.001307
37,503.513,0.86126,1.26991,0.70868,1.06697,0.90966,0.80328,0.8995,0.67501,0.90966,0.80328,0.89962,0.66306,0.9314,1.53319,0.74953,1.1445,0.0012872,0.0012872,0.0012872
38,519.318,0.88067,1.29983,0.69584,1.06562,0.85296,0.90164,0.9275,0.69125,0.85296,0.90164,0.92636,0.67431,0.9423,1.61173,0.66557,1.17849,0.0012674,0.0012674,0.0012674
39,532.083,0.85499,1.29733,0.68075,1.06222,0.90764,0.86885,0.93566,0.70162,0.95404,0.85071,0.93025,0.68217,0.88281,1.55493,0.64062,1.11725,0.0012476,0.0012476,0.0012476
40,548.054,0.84948,1.27518,0.6791,1.04755,0.96028,0.84426,0.9349,0.69657,0.96028,0.84426,0.9349,0.69409,0.92803,1.46991,0.61816,1.16051,0.0012278,0.0012278,0.0012278
41,560.87,0.85477,1.23585,0.65972,1.05592,0.92646,0.88525,0.94053,0.69779,0.91788,0.87705,0.93101,0.68843,0.91551,1.56565,0.58977,1.17171,0.001208,0.001208,0.001208
42,573.355,0.86093,1.28416,0.67129,1.05906,0.92643,0.82575,0.90944,0.6875,0.93526,0.82896,0.90936,0.6705,0.89488,1.57755,0.67009,1.1399,0.0011882,0.0011882,0.0011882
43,588.994,0.8531,1.25569,0.66856,1.06433,0.90768,0.90164,0.93406,0.70821,0.91593,0.90984,0.94046,0.703,0.9006,1.40697,0.58639,1.12796,0.0011684,0.0011684,0.0011684
44,601.986,0.8399,1.25972,0.65399,1.05051,0.93435,0.90164,0.93684,0.71036,0.93435,0.90164,0.94132,0.70649,0.91566,1.45947,0.59119,1.14069,0.0011486,0.0011486,0.0011486
