epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,369.76,0.8332,0.69559,1.09603,0.90759,0.82178,0.92509,0.69866,0.95919,0.68929,1.18001,0.0011882,0.0011882,0.0011882
43,377.741,0.84793,0.74493,1.09848,0.9226,0.81518,0.91851,0.69136,0.9757,0.69825,1.19145,0.0011684,0.0011684,0.0011684
44,385.602,0.85565,0.70815,1.10726,0.89829,0.85149,0.93123,0.68538,0.98937,0.69252,1.19096,0.0011486,0.0011486,0.0011486
45,393.34,0.823,0.65978,1.07839,0.92679,0.85479,0.93735,0.69484,0.97242,0.67433,1.19164,0.0011288,0.0011288,0.0011288
46,405.317,0.86163,0.70458,1.1056,0.89436,0.77558,0.87751,0.60843,1.13459,0.91063,1.30071,0.001109,0.001109,0.001109
47,413.112,0.86519,0.70174,1.11508,0.89018,0.8828,0.94381,0.70555,0.99868,0.64176,1.19925,0.0010892,0.0010892,0.0010892
48,420.859,0.85132,0.66891,1.09214,0.92496,0.89492,0.95303,0.72161,0.9516,0.6012,1.16459,0.0010694,0.0010694,0.0010694
49,428.549,0.8376,0.64347,1.10705,0.92475,0.85175,0.94389,0.71394,0.9455,0.623,1.16735,0.0010496,0.0010496,0.0010496
50,439.012,0.83448,0.67582,1.09991,0.9442,0.83828,0.93616,0.70407,0.94694,0.63264,1.18624,0.0010298,0.0010298,0.0010298
51,447.214,0.82108,0.66723,1.06907,0.9254,0.87129,0.94174,0.69426,0.95943,0.63647,1.16687,0.00101,0.00101,0.00101
52,454.947,0.79895,0.62075,1.05663,0.93907,0.86476,0.9413,0.71225,0.9403,0.6405,1.15949,0.0009902,0.0009902,0.0009902
53,462.637,0.83055,0.66936,1.09646,0.9228,0.86788,0.9403,0.70644,0.97281,0.62236,1.16805,0.0009704,0.0009704,0.0009704
54,473.168,0.81954,0.66613,1.09629,0.95039,0.85479,0.93477,0.69552,0.95524,0.65132,1.17252,0.0009506,0.0009506,0.0009506
55,481.435,0.81742,0.64422,1.08815,0.90643,0.86321,0.93722,0.70708,0.95895,0.63979,1.17832,0.0009308,0.0009308,0.0009308
56,489.191,0.82016,0.64155,1.08064,0.92263,0.86578,0.93635,0.69678,0.9588,0.63544,1.16475,0.000911,0.000911,0.000911
57,498.377,0.78666,0.60442,1.06356,0.93783,0.84818,0.92827,0.69335,0.97034,0.64908,1.17895,0.0008912,0.0008912,0.0008912
58,508.891,0.81028,0.63196,1.09139,0.94533,0.85479,0.94108,0.71768,0.91917,0.62623,1.14345,0.0008714,0.0008714,0.0008714
59,517.481,0.77856,0.6402,1.05426,0.96256,0.8484,0.94878,0.72146,0.9355,0.63044,1.1576,0.0008516,0.0008516,0.0008516
60,525.219,0.78769,0.6175,1.05847,0.89701,0.89109,0.9332,0.71262,0.93286,0.63178,1.17089,0.0008318,0.0008318,0.0008318
61,532.915,0.78892,0.61324,1.06453,0.90938,0.90429,0.94676,0.73695,0.90284,0.59331,1.14213,0.000812,0.000812,0.000812
62,543.433,0.77437,0.59036,1.07515,0.92187,0.89568,0.94855,0.73594,0.91905,0.58318,1.1548,0.0007922,0.0007922,0.0007922
63,551.8,0.74541,0.56245,1.03696,0.9411,0.88779,0.948,0.73078,0.91672,0.56999,1.13671,0.0007724,0.0007724,0.0007724
64,559.523,0.77781,0.59231,1.05747,0.92495,0.89485,0.94834,0.73612,0.9064,0.57717,1.14673,0.0007526,0.0007526,0.0007526
65,567.6,0.78983,0.59762,1.07351,0.93973,0.89769,0.95039,0.73048,0.91051,0.57133,1.14144,0.0007328,0.0007328,0.0007328
66,577.988,0.74433,0.59427,1.0433,0.92067,0.91089,0.94975,0.7358,0.8958,0.59251,1.12126,0.000713,0.000713,0.000713
67,586.4,0.76056,0.57408,1.04838,0.90412,0.89109,0.94505,0.7336,0.9068,0.6047,1.13145,0.0006932,0.0006932,0.0006932
68,594.196,0.73883,0.57016,1.05523,0.9572,0.88571,0.95491,0.73738,0.9219,0.5601,1.14206,0.0006734,0.0006734,0.0006734
69,601.979,0.76213,0.55089,1.05085,0.91952,0.89769,0.95003,0.73817,0.88729,0.59364,1.12953,0.0006536,0.0006536,0.0006536
70,612.441,0.74985,0.56201,1.05325,0.938,0.89881,0.95753,0.74478,0.87502,0.54909,1.11783,0.0006338,0.0006338,0.0006338
71,620.269,0.73338,0.56219,1.0351,0.93799,0.88119,0.95494,0.74768,0.89466,0.58043,1.13677,0.000614,0.000614,0.000614
72,628.501,0.73022,0.54096,1.02065,0.96227,0.84172,0.94257,0.71728,0.92604,0.59353,1.14516,0.0005942,0.0005942,0.0005942
73,636.177,0.71959,0.54701,1.03838,0.91638,0.90429,0.9552,0.75347,0.89046,0.5549,1.13161,0.0005744,0.0005744,0.0005744
74,646.802,0.7517,0.56318,1.05185,0.94475,0.88119,0.93297,0.73525,0.87079,0.53277,1.12192,0.0005546,0.0005546,0.0005546
75,654.602,0.68253,0.51954,1.02091,0.95999,0.88779,0.96794,0.75505,0.88038,0.52443,1.11531,0.0005348,0.0005348,0.0005348
76,662.876,0.69714,0.52049,1.02116,0.95202,0.88779,0.94991,0.74828,0.8749,0.54879,1.11607,0.000515,0.000515,0.000515
77,671.931,0.70221,0.50467,1.02156,0.94855,0.88779,0.9558,0.75126,0.87765,0.54236,1.11925,0.0004952,0.0004952,0.0004952
78,682.575,0.68744,0.5227,1.02332,0.95742,0.90429,0.95866,0.76103,0.86062,0.53224,1.11059,0.0004754,0.0004754,0.0004754
79,690.288,0.69112,0.52046,1.01782,0.94936,0.90759,0.96552,0.77796,0.83524,0.5191,1.09605,0.0004556,0.0004556,0.0004556
80,698.655,0.67514,0.49477,1.00704,0.93915,0.91684,0.9631,0.7652,0.84842,0.52031,1.10446,0.0004358,0.0004358,0.0004358
81,706.619,0.69403,0.50741,1.01306,0.95159,0.90759,0.95772,0.76218,0.87664,0.5228,1.12169,0.000416,0.000416,0.000416
82,717.426,0.68228,0.49725,1.00683,0.94179,0.91749,0.95617,0.75922,0.85996,0.50862,1.11299,0.0003962,0.0003962,0.0003962
83,725.135,0.67603,0.48298,0.9992,0.97089,0.88044,0.96176,0.76489,0.86245,0.52552,1.11127,0.0003764,0.0003764,0.0003764
84,733.298,0.67561,0.50425,1.01226,0.93511,0.90759,0.96062,0.76914,0.87058,0.51037,1.12813,0.0003566,0.0003566,0.0003566
85,741.014,0.67999,0.4779,1.00302,0.9715,0.90005,0.9658,0.77477,0.85871,0.49703,1.11903,0.0003368,0.0003368,0.0003368
86,751.624,0.68934,0.47271,1.02342,0.92568,0.93729,0.96709,0.77471,0.83793,0.48797,1.10077,0.000317,0.000317,0.000317
87,759.422,0.66565,0.4748,0.99436,0.96018,0.90099,0.96557,0.77493,0.84085,0.50471,1.10404,0.0002972,0.0002972,0.0002972
88,767.573,0.68885,0.48626,1.01297,0.96769,0.89439,0.96769,0.76529,0.85374,0.51072,1.10774,0.0002774,0.0002774,0.0002774
89,775.414,0.64099,0.46528,0.98994,0.96453,0.89754,0.96609,0.77013,0.84652,0.49594,1.10331,0.0002576,0.0002576,0.0002576
90,783.259,0.65597,0.455,0.99486,0.96302,0.91089,0.96689,0.77788,0.83814,0.49331,1.10735,0.0002378,0.0002378,0.0002378
91,797.442,0.58462,0.36304,0.93274,0.95668,0.90759,0.96389,0.76548,0.85206,0.49249,1.10487,0.000218,0.000218,0.000218
92,805.088,0.58831,0.35493,0.9368,0.95146,0.91749,0.96476,0.76887,0.83102,0.4954,1.09229,0.0001982,0.0001982,0.0001982
93,812.77,0.56907,0.34444,0.9318,0.93534,0.90099,0.95662,0.76819,0.84718,0.50446,1.1097,0.0001784,0.0001784,0.0001784
94,823.393,0.54517,0.33119,0.91347,0.9567,0.88449,0.95838,0.76459,0.8523,0.5256,1.11789,0.0001586,0.0001586,0.0001586
95,832.14,0.54319,0.33012,0.91035,0.93711,0.92409,0.9637,0.76958,0.82022,0.48502,1.09586,0.0001388,0.0001388,0.0001388
96,839.841,0.54599,0.32834,0.91623,0.94544,0.91507,0.9628,0.76947,0.82542,0.48575,1.10261,0.000119,0.000119,0.000119
97,847.557,0.53883,0.32232,0.91571,0.92705,0.93399,0.96398,0.77184,0.82919,0.48145,1.10375,9.92e-05,9.92e-05,9.92e-05
98,858.133,0.52818,0.31751,0.90537,0.94487,0.90509,0.96243,0.77246,0.83343,0.48564,1.10585,7.94e-05,7.94e-05,7.94e-05
99,865.872,0.54858,0.32494,0.92053,0.93937,0.92045,0.96687,0.77591,0.82546,0.4837,1.09397,5.96e-05,5.96e-05,5.96e-05
100,874.108,0.53015,0.32627,0.91102,0.95499,0.91029,0.96904,0.77865,0.82145,0.47426,1.09152,3.98e-05,3.98e-05,3.98e-05
