epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.5318,1.12025,2.65357,1.33216,0.66777,0.44444,0.53637,0.31625,1.28004,2.4766,1.40427,0.000655914,0.000655914,0.000655914
2,14.928,1.20725,2.16138,1.37941,0.58003,0.40741,0.47386,0.25351,1.45028,2.79646,1.60061,0.00130949,0.00130949,0.00130949
3,20.7053,1.289,2.00024,1.42274,0.70827,0.57549,0.66627,0.40334,1.25452,3.59432,1.45118,0.00194986,0.00194986,0.00194986
4,26.8606,1.25832,1.76865,1.39929,0.64922,0.65926,0.70301,0.45281,1.14239,4.50704,1.43716,0.0019406,0.0019406,0.0019406
5,33.4845,1.22066,1.67714,1.38747,0.75655,0.71111,0.7408,0.49209,1.19286,2.7259,1.39916,0.0019208,0.0019208,0.0019208
6,39.7661,1.23534,1.52294,1.38674,0.8877,0.62963,0.78571,0.51039,1.19194,1.59976,1.34383,0.001901,0.001901,0.001901
7,45.5921,1.1899,1.39331,1.34299,0.86595,0.76565,0.86064,0.56086,1.15025,1.58421,1.30334,0.0018812,0.0018812,0.0018812
8,51.3997,1.11721,1.36776,1.29143,0.7467,0.74815,0.79572,0.53475,1.03872,1.23397,1.26269,0.0018614,0.0018614,0.0018614
9,57.2418,1.14804,1.27476,1.30203,0.89828,0.65415,0.82009,0.56773,1.07591,1.1385,1.26845,0.0018416,0.0018416,0.0018416
10,64.4202,1.11386,1.21776,1.27778,0.82625,0.79259,0.86437,0.60879,1.06997,1.04831,1.21051,0.0018218,0.0018218,0.0018218
11,72.2334,1.08881,1.14669,1.31063,0.76697,0.66667,0.73178,0.50876,1.15958,1.33002,1.35809,0.001802,0.001802,0.001802
12,78.6441,1.05297,1.12836,1.25172,0.88829,0.82466,0.89259,0.61506,1.03487,1.02525,1.21245,0.0017822,0.0017822,0.0017822
13,84.6503,1.03956,1.0605,1.249,0.85919,0.77037,0.87489,0.62821,0.99372,0.97888,1.22449,0.0017624,0.0017624,0.0017624
14,90.725,1.03534,1.056,1.24838,0.89169,0.80741,0.89604,0.65447,0.98618,0.90815,1.18812,0.0017426,0.0017426,0.0017426
15,97.6187,1.00201,1.02236,1.21528,0.91299,0.82963,0.90428,0.64563,1.02527,0.82267,1.2156,0.0017228,0.0017228,0.0017228
16,103.912,1.04822,0.998,1.24074,0.836,0.71852,0.79388,0.53579,1.19241,1.14287,1.34064,0.001703,0.001703,0.001703
17,110.58,1.03082,0.99664,1.24908,0.89647,0.76966,0.89296,0.64878,0.96203,0.8703,1.16795,0.0016832,0.0016832,0.0016832
18,116.89,0.98008,0.94987,1.20867,0.93085,0.89737,0.95333,0.69934,0.93913,0.69067,1.14661,0.0016634,0.0016634,0.0016634
19,123.212,1.0047,0.92161,1.23254,0.85987,0.81481,0.89989,0.64621,0.99849,0.8864,1.21789,0.0016436,0.0016436,0.0016436
20,130.236,1.03456,0.96893,1.23749,0.90509,0.86667,0.92558,0.69632,0.92252,0.75916,1.16187,0.0016238,0.0016238,0.0016238
21,136.894,0.9559,0.89845,1.18248,0.84981,0.78519,0.86861,0.64163,0.97372,0.91011,1.18485,0.001604,0.001604,0.001604
22,144.595,1.00995,0.94075,1.21671,0.91773,0.86667,0.94175,0.71249,0.88361,0.69935,1.11286,0.0015842,0.0015842,0.0015842
23,150.945,0.9572,0.89806,1.19879,0.93032,0.82963,0.94359,0.72843,0.80449,0.65508,1.07716,0.0015644,0.0015644,0.0015644
24,157.252,0.90171,0.85257,1.14981,0.87121,0.83704,0.90435,0.67599,0.89389,0.76391,1.13384,0.0015446,0.0015446,0.0015446
25,164.35,0.96161,0.84734,1.18797,0.95662,0.81685,0.92404,0.68605,0.93367,0.75629,1.13332,0.0015248,0.0015248,0.0015248
26,170.686,0.95949,0.86834,1.19466,0.85699,0.79899,0.87784,0.60662,1.04889,0.94249,1.25068,0.001505,0.001505,0.001505
27,177.371,0.9483,0.84582,1.2037,0.86028,0.86653,0.91179,0.67582,0.91458,0.77023,1.13469,0.0014852,0.0014852,0.0014852
28,183.914,0.92667,0.83388,1.18411,0.94905,0.88889,0.93162,0.72635,0.85608,0.69029,1.10107,0.0014654,0.0014654,0.0014654
29,190.526,0.91412,0.80345,1.16334,0.93529,0.9037,0.9432,0.7174,0.87264,0.65733,1.10779,0.0014456,0.0014456,0.0014456
30,197.901,0.87361,0.75485,1.13617,0.8916,0.85297,0.93063,0.6891,0.85766,0.67981,1.09248,0.0014258,0.0014258,0.0014258
31,204.438,0.88639,0.81821,1.16587,0.95473,0.87407,0.94913,0.71902,0.8762,0.65476,1.1157,0.001406,0.001406,0.001406
32,211.495,0.87471,0.87718,1.16227,0.91581,0.92593,0.9618,0.72112,0.88636,0.63007,1.14456,0.0013862,0.0013862,0.0013862
33,218.689,0.88944,0.80202,1.16032,0.94513,0.80741,0.91524,0.68802,0.89252,0.73672,1.11539,0.0013664,0.0013664,0.0013664
34,225.228,0.87134,0.75756,1.1446,0.9,0.93335,0.96241,0.73565,0.87974,0.62825,1.11547,0.0013466,0.0013466,0.0013466
35,232.66,0.82978,0.713,1.12094,0.95881,0.91852,0.96735,0.7465,0.83453,0.64916,1.10038,0.0013268,0.0013268,0.0013268
36,239.198,0.80762,0.73483,1.11122,0.94711,0.83704,0.93192,0.72508,0.85269,0.67224,1.08874,0.001307,0.001307,0.001307
37,245.764,0.88436,0.72142,1.16535,0.97448,0.92593,0.97012,0.76507,0.86022,0.60716,1.07644,0.0012872,0.0012872,0.0012872
38,253.128,0.82467,0.70289,1.12267,0.94818,0.84444,0.94959,0.74594,0.82484,0.6503,1.06944,0.0012674,0.0012674,0.0012674
39,260.649,0.83019,0.69634,1.11549,0.90057,0.91111,0.95725,0.74755,0.83071,0.58995,1.07367,0.0012476,0.0012476,0.0012476
40,267.429,0.83634,0.74348,1.1288,0.96322,0.88889,0.95684,0.73361,0.84524,0.60225,1.08496,0.0012278,0.0012278,0.0012278
41,274.135,0.82372,0.7063,1.11695,0.96692,0.86603,0.94107,0.73323,0.85235,0.65729,1.09037,0.001208,0.001208,0.001208
42,280.86,0.8113,0.69843,1.10537,0.96873,0.9037,0.96515,0.76448,0.81874,0.5729,1.04928,0.0011882,0.0011882,0.0011882
43,287.573,0.76321,0.64325,1.07102,0.97065,0.91111,0.96686,0.77287,0.79738,0.56801,1.06377,0.0011684,0.0011684,0.0011684
44,295.255,0.82516,0.69574,1.11763,0.91262,0.92841,0.96702,0.76063,0.80523,0.57208,1.07225,0.0011486,0.0011486,0.0011486
45,302.575,0.80665,0.66392,1.11152,0.95639,0.8963,0.97449,0.76194,0.82839,0.55449,1.06398,0.0011288,0.0011288,0.0011288
46,309.718,0.79915,0.66582,1.10549,0.96608,0.85926,0.94412,0.73269,0.83988,0.62845,1.11313,0.001109,0.001109,0.001109
47,316.773,0.75879,0.65972,1.07379,0.93128,0.90343,0.95984,0.77723,0.76649,0.55146,1.01762,0.0010892,0.0010892,0.0010892
48,323.81,0.75863,0.62829,1.08137,0.99166,0.88116,0.96795,0.77733,0.76384,0.54681,1.04587,0.0010694,0.0010694,0.0010694
49,331.846,0.76337,0.66379,1.08516,0.96592,0.93333,0.97443,0.76983,0.78754,0.53506,1.05697,0.0010496,0.0010496,0.0010496
50,338.852,0.77145,0.63062,1.08084,0.90909,0.9629,0.97706,0.78851,0.7556,0.50753,1.04609,0.0010298,0.0010298,0.0010298
51,345.905,0.82761,0.71284,1.1254,0.9664,0.9037,0.97966,0.77703,0.8213,0.51839,1.09414,0.00101,0.00101,0.00101
52,352.934,0.74518,0.58487,1.06217,0.9837,0.92593,0.97152,0.7903,0.76246,0.50248,1.05473,0.0009902,0.0009902,0.0009902
53,361.141,0.74911,0.59648,1.06595,0.96152,0.92541,0.97552,0.78716,0.75065,0.50857,1.04721,0.0009704,0.0009704,0.0009704
54,368.577,0.77757,0.62927,1.08892,0.96958,0.94435,0.96721,0.78522,0.76782,0.51778,1.04469,0.0009506,0.0009506,0.0009506
55,375.644,0.74597,0.60243,1.06649,0.96699,0.91111,0.96573,0.77831,0.78408,0.5314,1.05983,0.0009308,0.0009308,0.0009308
56,382.823,0.71203,0.57583,1.04884,0.97116,0.94815,0.97505,0.80744,0.70825,0.48761,0.99534,0.000911,0.000911,0.000911
57,390.082,0.74556,0.57844,1.06859,0.96076,0.91852,0.95998,0.79656,0.72646,0.54777,1.00232,0.0008912,0.0008912,0.0008912
58,398.204,0.7385,0.59254,1.05806,0.97709,0.9477,0.96636,0.77823,0.74896,0.49048,1.023,0.0008714,0.0008714,0.0008714
59,405.378,0.71541,0.56212,1.04994,0.93373,0.93934,0.97001,0.78559,0.75327,0.47958,1.02838,0.0008516,0.0008516,0.0008516
60,412.766,0.72867,0.58051,1.05989,0.97517,0.91852,0.97319,0.78856,0.75737,0.49543,1.01129,0.0008318,0.0008318,0.0008318
61,419.995,0.72015,0.53613,1.06149,0.95507,0.94487,0.98018,0.80558,0.7175,0.45402,1.00341,0.000812,0.000812,0.000812
62,428.415,0.71641,0.55576,1.04862,0.97848,0.94074,0.97556,0.78239,0.73178,0.49977,1.01285,0.0007922,0.0007922,0.0007922
63,435.636,0.69801,0.54049,1.04243,0.95488,0.94069,0.97804,0.80138,0.7261,0.45376,0.99842,0.0007724,0.0007724,0.0007724
64,442.706,0.69761,0.53438,1.0279,0.99166,0.88034,0.97437,0.79332,0.72483,0.51348,0.99488,0.0007526,0.0007526,0.0007526
65,450.085,0.69636,0.55136,1.03674,0.94102,0.95556,0.97688,0.78957,0.73084,0.48717,1.01492,0.0007328,0.0007328,0.0007328
66,457.505,0.69247,0.554,1.03209,0.9619,0.93519,0.97531,0.80242,0.71156,0.48002,0.99319,0.000713,0.000713,0.000713
67,466.247,0.66314,0.52678,1.00957,0.96108,0.94815,0.97275,0.81852,0.69017,0.44507,0.9896,0.0006932,0.0006932,0.0006932
68,473.394,0.68721,0.55298,1.03116,0.99218,0.94001,0.98055,0.8212,0.68069,0.42154,0.99337,0.0006734,0.0006734,0.0006734
69,480.699,0.68573,0.5124,1.03393,0.98178,0.96296,0.99078,0.81311,0.71112,0.41764,0.99854,0.0006536,0.0006536,0.0006536
70,488.363,0.68391,0.51121,1.04524,0.95386,0.95556,0.98434,0.80561,0.72914,0.4357,1.01687,0.0006338,0.0006338,0.0006338
71,497.098,0.65001,0.52035,1.01113,0.97005,0.96296,0.98684,0.8005,0.76195,0.44741,1.04373,0.000614,0.000614,0.000614
72,504.567,0.6897,0.51365,1.03348,0.98437,0.93292,0.97049,0.78212,0.75012,0.45252,1.04622,0.0005942,0.0005942,0.0005942
73,511.386,0.63287,0.49654,1.00913,0.98211,0.92593,0.97301,0.80254,0.75338,0.462,1.04901,0.0005744,0.0005744,0.0005744
74,518.987,0.66076,0.51299,1.00721,0.96159,0.95556,0.9785,0.81349,0.71222,0.44315,1.00439,0.0005546,0.0005546,0.0005546
75,527.929,0.64817,0.48958,1.01925,0.97013,0.96236,0.99157,0.82317,0.70442,0.39511,1.02557,0.0005348,0.0005348,0.0005348
76,536.021,0.67313,0.51065,1.02377,0.96586,0.97037,0.98695,0.81615,0.71302,0.42845,1.0085,0.000515,0.000515,0.000515
77,542.685,0.65226,0.5024,1.00438,0.96991,0.95512,0.97533,0.80617,0.74533,0.43018,1.02123,0.0004952,0.0004952,0.0004952
78,549.761,0.64062,0.47015,1.00062,0.9761,0.96296,0.98183,0.81845,0.69699,0.42297,0.9988,0.0004754,0.0004754,0.0004754
79,557.249,0.64478,0.47134,1.01503,0.9722,0.95556,0.97596,0.81755,0.69542,0.46207,0.98937,0.0004556,0.0004556,0.0004556
80,566.489,0.66097,0.49925,1.04217,0.97758,0.96876,0.98341,0.83041,0.68061,0.39641,0.98373,0.0004358,0.0004358,0.0004358
81,574.297,0.64606,0.46811,1.02033,0.96312,0.96719,0.98416,0.83444,0.68791,0.40915,0.99063,0.000416,0.000416,0.000416
82,581.715,0.61758,0.4784,1.00042,0.97703,0.94815,0.98111,0.83247,0.66101,0.41484,0.9736,0.0003962,0.0003962,0.0003962
83,590.204,0.60077,0.44885,0.98813,0.96315,0.96818,0.97792,0.83041,0.66307,0.39892,0.96462,0.0003764,0.0003764,0.0003764
84,601.135,0.63202,0.49226,1.00358,0.98877,0.94815,0.98117,0.83098,0.67631,0.40614,0.97706,0.0003566,0.0003566,0.0003566
85,608.882,0.61241,0.43956,1.00641,0.97013,0.96247,0.9829,0.82917,0.68046,0.41875,0.98431,0.0003368,0.0003368,0.0003368
86,615.872,0.59582,0.44101,0.98507,0.96809,0.96296,0.98558,0.82805,0.6669,0.39379,0.98124,0.000317,0.000317,0.000317
87,622.976,0.61478,0.43185,1.00569,0.97995,0.97037,0.98106,0.82797,0.67286,0.40066,0.97886,0.0002972,0.0002972,0.0002972
88,631.828,0.59994,0.4409,0.99719,0.99216,0.97037,0.98606,0.83396,0.65922,0.39147,0.97953,0.0002774,0.0002774,0.0002774
89,638.925,0.61308,0.45644,0.98902,0.9988,0.97037,0.98668,0.82826,0.66833,0.38434,0.98622,0.0002576,0.0002576,0.0002576
90,646.078,0.59493,0.4304,0.97947,1,0.96981,0.99164,0.83927,0.65587,0.37511,0.97853,0.0002378,0.0002378,0.0002378
91,656.519,0.53305,0.34788,0.96593,0.97199,0.97037,0.98896,0.82418,0.70518,0.40099,0.99401,0.000218,0.000218,0.000218
92,665.304,0.54417,0.34337,0.9639,0.97566,0.96296,0.98677,0.83237,0.66789,0.40611,0.97976,0.0001982,0.0001982,0.0001982
93,672.909,0.51395,0.328,0.92612,0.96201,0.96296,0.99081,0.83039,0.68148,0.39208,0.99268,0.0001784,0.0001784,0.0001784
94,679.925,0.50437,0.31695,0.91059,0.97589,0.97778,0.99294,0.8315,0.6749,0.3674,0.98658,0.0001586,0.0001586,0.0001586
95,687.227,0.49543,0.3116,0.91051,0.98911,0.97037,0.99277,0.83157,0.66926,0.3677,0.98582,0.0001388,0.0001388,0.0001388
96,694.548,0.49695,0.30628,0.92321,0.99228,0.95198,0.98994,0.84537,0.66119,0.3702,0.97434,0.000119,0.000119,0.000119
97,703.282,0.46952,0.29896,0.90313,0.97655,0.96296,0.98903,0.84407,0.65652,0.3677,0.97274,9.92e-05,9.92e-05,9.92e-05
98,710.032,0.46631,0.2983,0.91118,0.96923,0.96296,0.9888,0.84771,0.64666,0.37034,0.96829,7.94e-05,7.94e-05,7.94e-05
99,717.216,0.46021,0.29737,0.8958,0.97581,0.97037,0.99206,0.84411,0.64679,0.36956,0.97127,5.96e-05,5.96e-05,5.96e-05
100,724.409,0.46499,0.29226,0.8934,0.98491,0.96722,0.99223,0.84845,0.64044,0.36614,0.96665,3.98e-05,3.98e-05,3.98e-05
