epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9026,1.15906,2.58001,1.35345,0.62575,0.52755,0.57123,0.35506,1.28281,2.76799,1.58702,0.000659176,0.000659176,0.000659176
2,24.0308,1.30989,2.14487,1.43725,0.47044,0.59358,0.56492,0.34257,1.38751,7.0937,1.67133,0.00131272,0.00131272,0.00131272
3,34.607,1.33411,1.94665,1.45747,0.6814,0.59358,0.68239,0.43597,1.32776,3.71109,1.58433,0.00195306,0.00195306,0.00195306
4,45.903,1.31732,1.77418,1.43676,0.64003,0.58949,0.65608,0.40223,1.38822,2.45128,1.59307,0.0019406,0.0019406,0.0019406
5,56.4821,1.29157,1.61627,1.42313,0.61639,0.54993,0.5795,0.35551,1.38945,2.85951,1.59464,0.0019208,0.0019208,0.0019208
6,66.517,1.25903,1.50992,1.39218,0.70386,0.66094,0.71332,0.43894,1.35549,1.54982,1.50146,0.001901,0.001901,0.001901
7,76.9899,1.27665,1.4335,1.38275,0.73336,0.47059,0.63611,0.40205,1.29472,2.04649,1.49442,0.0018812,0.0018812,0.0018812
8,88.3436,1.20827,1.37209,1.37691,0.83681,0.74039,0.8357,0.55522,1.19574,1.24227,1.38367,0.0018614,0.0018614,0.0018614
9,98.2925,1.20721,1.32543,1.36877,0.855,0.75676,0.86464,0.59306,1.12468,1.10007,1.34122,0.0018416,0.0018416,0.0018416
10,108.393,1.17371,1.18678,1.32115,0.82746,0.7861,0.87211,0.6006,1.17214,0.99964,1.36859,0.0018218,0.0018218,0.0018218
11,118.37,1.16509,1.21531,1.32242,0.89458,0.80214,0.9034,0.63921,1.10167,0.95355,1.29918,0.001802,0.001802,0.001802
12,128.518,1.11213,1.14314,1.28609,0.90364,0.7021,0.87113,0.59108,1.11503,1.07308,1.31407,0.0017822,0.0017822,0.0017822
13,138.702,1.10605,1.11753,1.27151,0.82831,0.7861,0.88542,0.62487,1.03976,0.99868,1.26566,0.0017624,0.0017624,0.0017624
14,150.135,1.08608,1.08056,1.25151,0.84748,0.75936,0.8561,0.60538,1.06871,1.08112,1.27753,0.0017426,0.0017426,0.0017426
15,160.616,1.06413,1.01913,1.24083,0.86837,0.74084,0.84941,0.59001,1.09128,1.09401,1.30544,0.0017228,0.0017228,0.0017228
16,171.344,1.06232,1.06237,1.25707,0.85217,0.68449,0.7988,0.52714,1.24998,1.25307,1.4137,0.001703,0.001703,0.001703
17,181.831,1.09499,1.0674,1.27319,0.90449,0.79679,0.90749,0.62216,1.12213,0.96428,1.29379,0.0016832,0.0016832,0.0016832
18,191.883,1.09149,1.03231,1.26617,0.88263,0.85027,0.90068,0.64089,1.00092,0.80271,1.2211,0.0016634,0.0016634,0.0016634
19,202.325,1.06447,1.04931,1.24509,0.94725,0.73797,0.91086,0.6408,1.09192,0.86875,1.26258,0.0016436,0.0016436,0.0016436
20,212.671,1.02078,0.99162,1.21948,0.9317,0.86631,0.94513,0.69836,0.98528,0.74709,1.21249,0.0016238,0.0016238,0.0016238
21,223.038,1.00881,0.95566,1.21249,0.93052,0.85937,0.94057,0.68227,1.00071,0.79241,1.22684,0.001604,0.001604,0.001604
